,id,seq,unlabeled,car,road,parking,sidewalk,building,fence,vegetation,trunk,pole,traffic-sign,moving-motorcyclist,outlier,other-vehicle,other-object,motorcyclist,moving-car,lane-marking,bicycle,terrain,other-structure,motorcycle,person,moving-person,moving-bicyclist,other-ground,truck,moving-other-vehicle,moving-bus,moving-truck,rider
24,00_000024,00,393.0,2264.0,5479,2124.0,1415.0,5980.0,,977.0,566.0,29.0,13.0,48.0,,6.0,38.0,,,,,,,,,,,,,,,,
25,00_000025,00,394.0,2292.0,5536,2190.0,1540.0,5884.0,2.0,788.0,575.0,30.0,14.0,52.0,,14.0,42.0,,,1.0,,,,,,,,,,,,,
26,00_000026,00,424.0,2326.0,5698,2115.0,1530.0,5698.0,,883.0,597.0,25.0,8.0,44.0,1.0,20.0,34.0,,,,,,,,,,,,,,,,
27,00_000027,00,424.0,2298.0,5844,2059.0,1543.0,5623.0,1.0,997.0,414.0,16.0,6.0,39.0,2.0,19.0,45.0,,,,,,,,,,,,,,,,
28,00_000028,00,418.0,2297.0,6009,2008.0,1514.0,5505.0,1.0,1166.0,390.0,17.0,2.0,37.0,3.0,41.0,46.0,,,,,,,,,,,,,,,,
29,00_000029,00,446.0,2321.0,6038,1971.0,1432.0,5396.0,2.0,1316.0,422.0,15.0,2.0,46.0,,17.0,54.0,,1.0,,,,,,,,,,,,,,
30,00_000030,00,402.0,2351.0,5921,1915.0,1371.0,5524.0,4.0,1343.0,526.0,,,41.0,,29.0,41.0,,,,,,,,,,,,,,,,
31,00_000031,00,420.0,2395.0,5727,1922.0,1279.0,5655.0,,1249.0,616.0,,,34.0,,32.0,46.0,,,,,,,,,,,,,,,,
32,00_000032,00,438.0,2438.0,5565,1769.0,1189.0,5696.0,3.0,1332.0,738.0,,,35.0,4.0,27.0,48.0,,,1.0,,,,,,,,,,,,,
33,00_000033,00,425.0,2477.0,5594,1470.0,1138.0,5484.0,4.0,1620.0,817.0,,,38.0,4.0,29.0,52.0,,,,,,,,,,,,,,,,
34,00_000034,00,401.0,2563.0,5748,1194.0,1099.0,5106.0,2.0,1927.0,872.0,1.0,,35.0,,42.0,57.0,,,2.0,,,,,,,,,,,,,
35,00_000035,00,386.0,2681.0,5873,1105.0,1115.0,4687.0,1.0,1986.0,962.0,,,28.0,,40.0,60.0,,,,,,,,,,,,,,,,
36,00_000036,00,398.0,2806.0,5773,1111.0,1120.0,4426.0,5.0,1923.0,1139.0,,,28.0,2.0,54.0,64.0,,,,,,,,,,,,,,,,
37,00_000037,00,434.0,3007.0,5619,1269.0,1190.0,4243.0,8.0,1566.0,1320.0,,,31.0,1.0,64.0,70.0,,,2.0,1.0,,,,,,,,,,,,
38,00_000038,00,488.0,3162.0,5459,1277.0,1395.0,4970.0,13.0,1294.0,397.0,,,26.0,4.0,64.0,66.0,,,,,,,,,,,,,,,,
39,00_000039,00,528.0,3559.0,5425,1005.0,1472.0,4678.0,34.0,1238.0,285.0,1.0,,24.0,6.0,79.0,74.0,,,1.0,,,,,,,,,,,,,
40,00_000040,00,531.0,3979.0,5476,735.0,1370.0,3899.0,106.0,1343.0,310.0,3.0,2.0,24.0,4.0,96.0,83.0,,,,,,,,,,,,,,,,
41,00_000041,00,546.0,3649.0,5595,723.0,1591.0,3747.0,204.0,1329.0,321.0,7.0,4.0,21.0,7.0,101.0,83.0,,,,,,,,,,,,,,,,
42,00_000042,00,536.0,2990.0,5671,744.0,1824.0,3815.0,276.0,1307.0,343.0,15.0,3.0,20.0,6.0,124.0,90.0,,,,,,,,,,,,,,,,
43,00_000043,00,528.0,2562.0,5774,911.0,2060.0,4060.0,332.0,1248.0,380.0,34.0,8.0,20.0,1.0,142.0,101.0,,,1.0,,,,,,,,,,,,,
44,00_000044,00,514.0,2262.0,5904,1099.0,2207.0,4484.0,381.0,1401.0,397.0,39.0,9.0,22.0,3.0,174.0,104.0,,1.0,,,,,,,,,,,,,,
45,00_000045,00,522.0,1557.0,6043,1343.0,2498.0,5116.0,422.0,1551.0,431.0,45.0,2.0,17.0,3.0,209.0,105.0,,,,,,,,,,,,,,,,
46,00_000046,00,567.0,1252.0,6044,1443.0,2678.0,5047.0,511.0,1666.0,482.0,49.0,3.0,19.0,3.0,255.0,127.0,,,,,,,,,,,,,,,,
47,00_000047,00,581.0,1425.0,5952,1318.0,2302.0,4860.0,552.0,1969.0,551.0,54.0,3.0,17.0,2.0,312.0,133.0,,,,,,,,,,,,,,,,
48,00_000048,00,637.0,1600.0,5898,1078.0,1870.0,4678.0,626.0,2315.0,659.0,55.0,15.0,14.0,5.0,409.0,138.0,,,,,,,,,,,,,,,,
49,00_000049,00,650.0,1797.0,5918,890.0,1441.0,4346.0,691.0,2709.0,760.0,77.0,16.0,15.0,7.0,489.0,160.0,,1.0,,,,,,,,,,,,,,
50,00_000050,00,548.0,2110.0,5954,987.0,1109.0,3833.0,782.0,2834.0,909.0,91.0,24.0,10.0,11.0,558.0,175.0,,,2.0,,,,,,,,,,,,,
51,00_000051,00,495.0,2474.0,6017,1162.0,910.0,3425.0,797.0,2619.0,1046.0,107.0,24.0,,11.0,654.0,128.0,,1.0,1.0,,,,,,,,,,,,,
52,00_000052,00,527.0,2889.0,5876,1429.0,716.0,3878.0,568.0,1782.0,1232.0,117.0,29.0,,11.0,758.0,44.0,,,,,,,,,,,,,,,,
53,00_000053,00,577.0,3257.0,5714,1528.0,587.0,4413.0,639.0,1261.0,352.0,137.0,38.0,,17.0,934.0,47.0,,,,,,,,,,,,,,,,
54,00_000054,00,520.0,3529.0,5650,1568.0,449.0,4866.0,511.0,1049.0,161.0,155.0,39.0,,3.0,1040.0,54.0,,,,,,,,,,,,,,,,
55,00_000055,00,480.0,3843.0,5812,1795.0,437.0,4799.0,345.0,806.0,155.0,161.0,43.0,,1.0,761.0,62.0,,,,,,,,,,,,,,,,
56,00_000056,00,457.0,4042.0,5920,1966.0,464.0,4680.0,190.0,659.0,150.0,195.0,30.0,,2.0,421.0,69.0,,,,,,,,,,,,,,,,
57,00_000057,00,489.0,4078.0,5957,2033.0,502.0,4743.0,,737.0,152.0,38.0,37.0,,1.0,35.0,71.0,,,,,,,,,,,,,,,,
58,00_000058,00,486.0,4060.0,5910,1950.0,328.0,4718.0,,757.0,160.0,38.0,35.0,,,2.0,86.0,,,1.0,,,,,,,,,,,,,
59,00_000059,00,489.0,3819.0,5866,1984.0,456.0,4649.0,,840.0,221.0,41.0,43.0,,1.0,,91.0,,,,2.0,,,,,,,,,,,,
60,00_000060,00,461.0,3684.0,5932,2037.0,670.0,4848.0,,974.0,196.0,49.0,49.0,,,1.0,21.0,,,,3.0,,,,,,,,,,,,
61,00_000061,00,414.0,3479.0,6117,2272.0,945.0,4859.0,,1116.0,195.0,51.0,43.0,,3.0,1.0,12.0,,,3.0,4.0,,,,,,,,,,,,
62,00_000062,00,389.0,3564.0,6378,2512.0,1211.0,4596.0,,1035.0,179.0,51.0,33.0,,4.0,2.0,15.0,,,,3.0,,,,,,,,,,,,
63,00_000063,00,328.0,3567.0,6570,2811.0,1286.0,4223.0,,916.0,177.0,61.0,31.0,,8.0,1.0,20.0,,,,2.0,,,,,,,,,,,,
64,00_000064,00,375.0,3781.0,6461,2841.0,1160.0,4077.0,,836.0,211.0,64.0,33.0,,10.0,1.0,31.0,,,,9.0,,,,,,,,,,,,
65,00_000065,00,448.0,4113.0,6142,2470.0,994.0,4053.0,,946.0,276.0,63.0,47.0,,,1.0,38.0,,,,7.0,1.0,,,,,,,,,,,
66,00_000066,00,495.0,4365.0,5941,2165.0,829.0,3970.0,,1078.0,336.0,67.0,57.0,,,1.0,46.0,,,,10.0,7.0,,,,,,,,,,,
67,00_000067,00,509.0,4652.0,6013,1869.0,673.0,3534.0,,1331.0,377.0,71.0,56.0,,,,37.0,,,,14.0,8.0,,,,,,,,,,,
68,00_000068,00,468.0,4900.0,6181,1713.0,487.0,3070.0,,1507.0,423.0,76.0,51.0,,,,36.0,,,,10.0,7.0,,,,,,,,,,,
69,00_000069,00,422.0,5435.0,6289,1480.0,249.0,2490.0,,1749.0,522.0,72.0,53.0,,,,34.0,,,,16.0,6.0,,,,,,,,,,,
70,00_000070,00,433.0,5200.0,6336,1320.0,299.0,2385.0,,2062.0,622.0,94.0,53.0,,,,37.0,,,2.0,16.0,2.0,,,,,,,,,,,
71,00_000071,00,372.0,4306.0,6419,1158.0,372.0,2543.0,,2468.0,660.0,97.0,74.0,,,,51.0,,,,17.0,6.0,,,,,,,,,,,
72,00_000072,00,371.0,3553.0,6517,948.0,426.0,2953.0,,2900.0,577.0,92.0,75.0,,7.0,,130.0,,,,15.0,14.0,,,,,,,,,,,
73,00_000073,00,375.0,3655.0,6599,749.0,539.0,3091.0,,3197.0,651.0,93.0,79.0,,9.0,,176.0,,,,18.0,12.0,,,,,,,,,,,
74,00_000074,00,383.0,3815.0,6731,770.0,689.0,2887.0,,3101.0,750.0,111.0,82.0,,10.0,,226.0,,,,25.0,7.0,,,,,,,,,,,
75,00_000075,00,355.0,3864.0,6982,907.0,778.0,2441.0,,2910.0,853.0,112.0,76.0,,9.0,,278.0,,,,20.0,1.0,,,,,,,,,,,
76,00_000076,00,350.0,4047.0,7295,1039.0,895.0,2508.0,,2371.0,188.0,112.0,74.0,,9.0,,334.0,,,,24.0,10.0,,,,,,,,,,,
77,00_000077,00,331.0,4124.0,7578,1236.0,937.0,2425.0,,1927.0,61.0,114.0,65.0,,11.0,,394.0,,,,21.0,3.0,,,,,,,,,,,
78,00_000078,00,392.0,4110.0,7549,1152.0,987.0,2273.0,,1720.0,76.0,97.0,91.0,,,,428.0,,,,23.0,14.0,,,,,,,,,,,
79,00_000079,00,387.0,3747.0,7439,999.0,1100.0,2317.0,1.0,1906.0,100.0,86.0,111.0,,,,451.0,,,,19.0,57.0,,,,,,,,,,,
80,00_000080,00,500.0,3395.0,7360,972.0,1236.0,2521.0,1.0,2078.0,121.0,101.0,128.0,,,,405.0,,,,21.0,101.0,1.0,,,,,,,,,,
81,00_000081,00,481.0,3027.0,7644,887.0,1401.0,2659.0,2.0,2187.0,123.0,105.0,141.0,,,,315.0,,,,28.0,106.0,9.0,,,,,,,,,,
82,00_000082,00,424.0,2671.0,8118,800.0,1669.0,2682.0,2.0,2186.0,114.0,124.0,136.0,,,,332.0,,,,33.0,121.0,,,,,,,,,,,
83,00_000083,00,408.0,2260.0,8590,739.0,1985.0,2734.0,,2229.0,105.0,123.0,116.0,,21.0,,345.0,,,,29.0,137.0,,,,,,,,,,,
84,00_000084,00,447.0,1828.0,8773,655.0,2291.0,2945.0,3.0,2201.0,121.0,98.0,62.0,,33.0,,388.0,,,,37.0,133.0,11.0,,,,,,,,,,
85,00_000085,00,508.0,1403.0,8598,583.0,2534.0,3257.0,1.0,2230.0,151.0,106.0,68.0,,23.0,,402.0,,,,41.0,120.0,25.0,,,,,,,,,,
86,00_000086,00,566.0,1188.0,8336,483.0,2690.0,3531.0,5.0,2233.0,167.0,111.0,87.0,,12.0,,442.0,,,,41.0,119.0,22.0,,,,,,,,,,
87,00_000087,00,602.0,1172.0,8412,425.0,2478.0,3664.0,3.0,2221.0,163.0,127.0,93.0,,7.0,,445.0,,,,52.0,126.0,16.0,,,,,,,,,,
88,00_000088,00,549.0,1246.0,8672,446.0,2360.0,3610.0,6.0,2096.0,156.0,124.0,83.0,,3.0,,483.0,,,,52.0,131.0,9.0,,,,,,,,,,
89,00_000089,00,541.0,1357.0,8780,449.0,2273.0,3515.0,2.0,2027.0,154.0,128.0,85.0,,,,533.0,,,,59.0,120.0,15.0,,,,,,,,,,
90,00_000090,00,486.0,1424.0,8904,477.0,2278.0,3384.0,5.0,1947.0,155.0,130.0,77.0,,3.0,,538.0,,,,60.0,140.0,20.0,,,,,,,,,,
91,00_000091,00,443.0,1527.0,8926,500.0,2341.0,3380.0,5.0,1800.0,143.0,128.0,28.0,,,,603.0,,,,60.0,138.0,16.0,,,,,,,,,,
92,00_000092,00,455.0,1620.0,8662,559.0,2477.0,3513.0,4.0,1728.0,149.0,79.0,,,1.0,,617.0,,,,55.0,130.0,6.0,,,,,,,,,,
93,00_000093,00,454.0,1753.0,8432,586.0,2474.0,3677.0,7.0,1497.0,149.0,90.0,,,1.0,,683.0,,,,55.0,138.0,5.0,,,,,,,,,,
94,00_000094,00,466.0,1875.0,8331,632.0,2500.0,3753.0,6.0,1292.0,157.0,92.0,,,2.0,,705.0,,,,61.0,126.0,6.0,1.0,,,,,,,,,
95,00_000095,00,477.0,1977.0,8205,684.0,2483.0,3818.0,7.0,1115.0,167.0,98.0,,,4.0,,753.0,,,,56.0,137.0,10.0,2.0,,,,,,,,,
96,00_000096,00,487.0,2082.0,8115,754.0,2407.0,3675.0,11.0,1142.0,168.0,102.0,,,,,804.0,,,,66.0,166.0,12.0,1.0,,,,,,,,,
97,00_000097,00,430.0,2205.0,8090,814.0,2343.0,3438.0,9.0,1257.0,163.0,104.0,,,3.0,,856.0,,,,66.0,179.0,11.0,,,,,,,,,,
98,00_000098,00,394.0,2167.0,8052,848.0,2354.0,3286.0,9.0,1398.0,167.0,107.0,,,1.0,,919.0,,,,67.0,207.0,16.0,1.0,,,,,,,,,
99,00_000099,00,383.0,2117.0,7935,849.0,2408.0,3206.0,11.0,1553.0,165.0,115.0,,,3.0,,986.0,,,,68.0,222.0,19.0,1.0,,,,,,,,,
100,00_000100,00,395.0,1996.0,7800,868.0,2502.0,3059.0,11.0,1778.0,166.0,123.0,,,,,1046.0,,,,81.0,260.0,20.0,2.0,,,,,,,,,
101,00_000101,00,364.0,1902.0,7676,859.0,2541.0,2987.0,22.0,1992.0,164.0,86.0,,,4.0,,1120.0,,,,72.0,261.0,24.0,2.0,,,,,,,,,
102,00_000102,00,349.0,1880.0,7284,735.0,2752.0,3124.0,19.0,2216.0,77.0,87.0,,,4.0,,1194.0,,,,84.0,266.0,39.0,2.0,,,,,,,,,
103,00_000103,00,359.0,1851.0,6799,609.0,2956.0,3119.0,16.0,2411.0,94.0,96.0,,,4.0,,1284.0,,,,95.0,313.0,31.0,1.0,,,,,,,,,
104,00_000104,00,349.0,1981.0,6122,518.0,3183.0,3206.0,25.0,2601.0,79.0,112.0,,,1.0,,1363.0,,,,96.0,326.0,51.0,2.0,,,,,,,,,
105,00_000105,00,280.0,2160.0,5445,410.0,3471.0,3294.0,21.0,2784.0,72.0,111.0,,,,,1431.0,,,,122.0,322.0,58.0,2.0,,,,,,,,,
106,00_000106,00,184.0,2261.0,4547,376.0,3879.0,3460.0,23.0,3080.0,71.0,121.0,,,,,1495.0,,,3.0,130.0,347.0,77.0,1.0,,,,,,,,,
107,00_000107,00,153.0,2423.0,3552,375.0,4178.0,3696.0,31.0,3306.0,76.0,121.0,,,,,1560.0,,,36.0,130.0,385.0,83.0,,,,,,,,,,
108,00_000108,00,124.0,2619.0,2884,349.0,4240.0,3807.0,32.0,3685.0,72.0,132.0,,,,,1637.0,,,92.0,142.0,399.0,73.0,,,,,,,,,,
109,00_000109,00,147.0,2586.0,2560,288.0,4268.0,3835.0,38.0,3856.0,42.0,143.0,,,,,1747.0,,,161.0,162.0,444.0,90.0,,,,,,,,,,
110,00_000110,00,247.0,2080.0,3055,111.0,4245.0,3711.0,46.0,3915.0,20.0,147.0,,,,,1837.0,,,195.0,182.0,461.0,97.0,,,,,,,,,,
111,00_000111,00,401.0,1702.0,3487,5.0,4036.0,3492.0,42.0,4048.0,19.0,155.0,,,,,1954.0,,,209.0,175.0,487.0,101.0,,,,,,,,,,
112,00_000112,00,429.0,1990.0,3565,,3382.0,3285.0,47.0,4269.0,24.0,13.0,,,2.0,,2065.0,,,215.0,107.0,490.0,106.0,,,,,,,,,,
113,00_000113,00,422.0,2248.0,3679,,2754.0,2813.0,49.0,4625.0,23.0,17.0,,,,,2173.0,,,244.0,,533.0,93.0,,,,,,,,,,
114,00_000114,00,433.0,2534.0,3692,,2323.0,2069.0,53.0,5103.0,24.0,15.0,,,3.0,,2292.0,,,263.0,,560.0,114.0,,,,,,,,,,
115,00_000115,00,454.0,2799.0,3706,,2153.0,1908.0,63.0,5391.0,23.0,14.0,,,2.0,,1797.0,,,287.0,,552.0,94.0,,,,,,,,,,
116,00_000116,00,476.0,3007.0,3678,,2058.0,2105.0,56.0,5487.0,29.0,19.0,,,1.0,,1108.0,,,299.0,,575.0,93.0,2.0,,,,,,,,,
117,00_000117,00,442.0,3217.0,3661,,1923.0,2364.0,65.0,5391.0,33.0,17.0,,,2.0,,501.0,,,369.0,,601.0,132.0,4.0,,,,,,,,,
118,00_000118,00,378.0,3472.0,3811,,1777.0,2432.0,54.0,5285.0,42.0,17.0,,,,,44.0,,,398.0,,598.0,128.0,5.0,,,,,,,,,
119,00_000119,00,328.0,3751.0,3916,,1656.0,2018.0,71.0,5281.0,58.0,19.0,,,2.0,,1.0,,,443.0,,554.0,138.0,7.0,,,,,,,,,
120,00_000120,00,388.0,3963.0,3740,,1524.0,1505.0,76.0,5739.0,58.0,18.0,,,,,2.0,,,499.0,,445.0,124.0,12.0,,,,,,,,,
121,00_000121,00,475.0,4142.0,3562,,1444.0,1008.0,79.0,6287.0,66.0,22.0,,,,,2.0,,,489.0,,329.0,131.0,23.0,,,,,,,,,
122,00_000122,00,511.0,4227.0,3577,,1327.0,907.0,93.0,6377.0,79.0,21.0,,,1.0,,3.0,,,399.0,2.0,261.0,123.0,29.0,,,,,,,,,
123,00_000123,00,545.0,4417.0,3644,,1332.0,946.0,97.0,6357.0,70.0,24.0,,,1.0,,3.0,,,338.0,,178.0,84.0,39.0,,,,,,,,,
124,00_000124,00,545.0,4365.0,3646,,1422.0,1065.0,114.0,6146.0,75.0,28.0,,,1.0,,3.0,,,324.0,1.0,100.0,62.0,51.0,,,,,,,,,
125,00_000125,00,631.0,4117.0,3606,,1575.0,1179.0,114.0,6187.0,64.0,29.0,,,,,6.0,,,259.0,,24.0,41.0,59.0,,,,,,,,,
126,00_000126,00,710.0,3548.0,3579,,1727.0,1144.0,127.0,6580.0,55.0,38.0,,,2.0,,9.0,,,161.0,1.0,35.0,40.0,70.0,,,,,,,,,
127,00_000127,00,722.0,2936.0,3661,,1940.0,1250.0,150.0,6741.0,63.0,44.0,,,,,10.0,,,145.0,2.0,31.0,59.0,85.0,,,,,,,,,
128,00_000128,00,676.0,2601.0,3887,,2234.0,1415.0,203.0,6780.0,80.0,49.0,,,2.0,,8.0,,,95.0,1.0,57.0,91.0,99.0,,,,,,,,,
129,00_000129,00,636.0,2152.0,4093,,2666.0,1553.0,240.0,6826.0,95.0,61.0,,,3.0,,6.0,,,,2.0,86.0,130.0,108.0,,,,,,,,,
130,00_000130,00,592.0,1887.0,4166,,3170.0,1696.0,281.0,6909.0,128.0,74.0,,,3.0,,2.0,,,,1.0,121.0,147.0,133.0,2.0,,,,,,,,
131,00_000131,00,584.0,1494.0,4181,,3572.0,1899.0,323.0,7022.0,169.0,102.0,,,1.0,,2.0,,,,1.0,164.0,171.0,131.0,,,,,,,,,
132,00_000132,00,599.0,1381.0,4168,,3835.0,2055.0,254.0,6959.0,192.0,125.0,,,,,2.0,,,,2.0,256.0,203.0,150.0,,,,,,,,,
133,00_000133,00,620.0,1229.0,4131,,4075.0,2229.0,271.0,7007.0,,10.0,,,2.0,,1.0,,,,1.0,271.0,238.0,158.0,,,,,,,,,
134,00_000134,00,641.0,1167.0,4118,,4050.0,2473.0,262.0,6863.0,1.0,9.0,,,,,1.0,,,,,200.0,227.0,163.0,2.0,,,,,,,,
135,00_000135,00,656.0,1300.0,4034,,3917.0,2823.0,219.0,6476.0,1.0,10.0,,,2.0,,,,,,,196.0,204.0,194.0,,,,,,,,,
136,00_000136,00,683.0,1425.0,3996,,3923.0,3205.0,178.0,6029.0,1.0,11.0,,,4.0,,,,,,,150.0,160.0,205.0,,,,,,,,,
137,00_000137,00,697.0,1541.0,3933,,3925.0,3423.0,146.0,5660.0,,11.0,,,,,,,,,,76.0,127.0,218.0,,,,,,,,,
138,00_000138,00,705.0,1635.0,3875,,3929.0,3957.0,107.0,4987.0,,13.0,,,2.0,,,,,,,65.0,95.0,227.0,,,,,,,,,
139,00_000139,00,718.0,1755.0,3885,,3912.0,4206.0,95.0,4466.0,,11.0,,,2.0,,,,,,,50.0,76.0,284.0,,,,,,,,,
140,00_000140,00,723.0,1781.0,3923,,4082.0,4462.0,97.0,3894.0,,14.0,,,3.0,,,,,,,24.0,55.0,289.0,,,,,,,,,
141,00_000141,00,760.0,1861.0,3951,,4252.0,4816.0,107.0,3408.0,,13.0,,,,,,,,,,,38.0,241.0,,,,,,,,,
142,00_000142,00,772.0,1751.0,3979,,4703.0,5165.0,106.0,2948.0,1.0,14.0,,,,,,,,,,,42.0,31.0,,,,,,,,,
143,00_000143,00,785.0,1522.0,4065,,4945.0,5300.0,120.0,2885.0,2.0,17.0,,,2.0,,,,,,,,50.0,,,,,,,,,,
144,00_000144,00,823.0,1119.0,4141,,5239.0,5196.0,124.0,3191.0,2.0,18.0,1.0,,,,,,,,,,59.0,,,,,,,,,,
145,00_000145,00,767.0,760.0,4218,,5572.0,5123.0,129.0,3466.0,2.0,19.0,5.0,,,,,,,,,3.0,64.0,,,,,,,,,,
146,00_000146,00,642.0,579.0,4300,,6005.0,4879.0,140.0,3789.0,2.0,21.0,4.0,,,,,,,,,17.0,62.0,,,,,,,,,,
147,00_000147,00,539.0,431.0,4353,,6437.0,4516.0,151.0,4182.0,5.0,21.0,6.0,,,,,,,,,17.0,65.0,,,,,,,,,,
148,00_000148,00,481.0,427.0,4436,,6387.0,4148.0,165.0,4519.0,6.0,25.0,10.0,,,,2.0,,,,,15.0,78.0,,,,,,,,,,
149,00_000149,00,433.0,500.0,4503,,6251.0,3731.0,197.0,4924.0,11.0,30.0,7.0,,,,3.0,,,,,16.0,88.0,,,,,,,,,,
150,00_000150,00,446.0,569.0,4488,,6009.0,3366.0,204.0,5439.0,10.0,29.0,6.0,,2.0,,2.0,,,,,28.0,100.0,,,,,,,,,,
151,00_000151,00,448.0,620.0,4366,,5695.0,3153.0,207.0,5922.0,35.0,33.0,11.0,,2.0,,2.0,,,,,26.0,110.0,,,,,,,,,,
152,00_000152,00,474.0,698.0,4239,,5382.0,3335.0,221.0,5943.0,39.0,35.0,6.0,,,,5.0,,,,,30.0,119.0,,,,,,,,,,
153,00_000153,00,421.0,808.0,4129,,5133.0,3497.0,273.0,5953.0,51.0,39.0,6.0,,1.0,,3.0,,,,,25.0,133.0,,,,,,,,,,
154,00_000154,00,400.0,919.0,4145,,5051.0,3457.0,308.0,5833.0,45.0,45.0,9.0,,3.0,,3.0,,,,,32.0,155.0,,,,,,,,,,
155,00_000155,00,349.0,1096.0,4170,,5079.0,3463.0,329.0,5571.0,47.0,48.0,7.0,,,,4.0,,,,,31.0,170.0,,,,,,,,,,
156,00_000156,00,341.0,1194.0,4202,,5023.0,3143.0,328.0,5801.0,47.0,51.0,7.0,,,,6.0,,,,,28.0,205.0,,,,,,,,,,
157,00_000157,00,318.0,1379.0,4223,,4679.0,2775.0,403.0,6236.0,43.0,56.0,12.0,,,,6.0,,,,,28.0,229.0,,,,,,,,,,
158,00_000158,00,333.0,1545.0,4221,,4325.0,2503.0,357.0,6650.0,47.0,59.0,13.0,,1.0,,6.0,,,,,23.0,271.0,,,,,,,,,,
159,00_000159,00,351.0,1812.0,4177,,4021.0,2209.0,354.0,6954.0,52.0,60.0,12.0,,,,6.0,,,,,33.0,310.0,,,,,,,,,,
